0.029	-0.00591	-0.40736	-14.04511	0.00299	0.20620	7.10811	0.00160	0.11027	3.80242	0.00079	0.05459	1.88271	0.00041	0.02814	0.97057	
0.030	-0.00632	-0.42140	-14.04481	0.00320	0.21330	7.10773	0.00171	0.11408	3.80239	0.00085	0.05647	1.88275	0.00044	0.02911	0.97061	
0.031	-0.00675	-0.43545	-14.04447	0.00342	0.22041	7.10730	0.00183	0.11788	3.80236	0.00090	0.05836	1.88280	0.00047	0.03008	0.97066	
0.032	-0.00719	-0.44949	-14.04409	0.00364	0.22752	7.10684	0.00195	0.12168	3.80232	0.00096	0.06024	1.88285	0.00050	0.03105	0.97072	
0.033	-0.00765	-0.46354	-14.04368	0.00387	0.23463	7.10632	0.00207	0.12548	3.80228	0.00102	0.06212	1.88290	0.00053	0.03202	0.97078	
0.034	-0.00812	-0.47758	-14.04323	0.00411	0.24173	7.10576	0.00220	0.12929	3.80224	0.00109	0.06401	1.88296	0.00056	0.03299	0.97085	
0.035	-0.00860	-0.49162	-14.04274	0.00435	0.24884	7.10515	0.00233	0.13309	3.80219	0.00115	0.06589	1.88303	0.00059	0.03396	0.97092	
0.036	-0.00910	-0.50566	-14.04220	0.00461	0.25594	7.10448	0.00246	0.13689	3.80214	0.00122	0.06777	1.88310	0.00063	0.03493	0.97100	
0.037	-0.00961	-0.51971	-14.04162	0.00487	0.26305	7.10376	0.00260	0.14069	3.80208	0.00129	0.06966	1.88318	0.00066	0.03591	0.97108	
0.038	-0.01014	-0.53375	-14.04098	0.00513	0.27015	7.10297	0.00275	0.14450	3.80202	0.00136	0.07154	1.88326	0.00070	0.03688	0.97118	
0.039	-0.01068	-0.54779	-14.04030	0.00541	0.27725	7.10212	0.00289	0.14830	3.80195	0.00143	0.07342	1.88336	0.00074	0.03785	0.97128	
0.040	-0.01124	-0.56183	-14.03956	0.00569	0.28435	7.10120	0.00304	0.15210	3.80188	0.00151	0.07531	1.88345	0.00078	0.03882	0.97138	
0.041	-0.01181	-0.57587	-14.03876	0.00598	0.29145	7.10021	0.00320	0.15590	3.80180	0.00158	0.07719	1.88356	0.00082	0.03979	0.97150	
0.042	-0.01239	-0.58991	-14.03791	0.00627	0.29855	7.09915	0.00335	0.15970	3.80172	0.00166	0.07907	1.88368	0.00086	0.04076	0.97163	
0.043	-0.01299	-0.60394	-14.03699	0.00657	0.30565	7.09800	0.00352	0.16350	3.80163	0.00174	0.08096	1.88380	0.00090	0.04173	0.97176	
0.044	-0.01360	-0.61798	-14.03600	0.00688	0.31275	7.09677	0.00368	0.16731	3.80154	0.00182	0.08284	1.88393	0.00094	0.04271	0.97191	
0.045	-0.01422	-0.63201	-14.03494	0.00720	0.31985	7.09546	0.00385	0.17111	3.80143	0.00191	0.08472	1.88407	0.00098	0.04368	0.97206	
0.046	-0.01486	-0.64605	-14.03381	0.00752	0.32694	7.09405	0.00402	0.17491	3.80132	0.00199	0.08661	1.88422	0.00103	0.04465	0.97223	
0.047	-0.01551	-0.66008	-14.03261	0.00785	0.33403	7.09256	0.00420	0.17871	3.80121	0.00208	0.08849	1.88439	0.00107	0.04562	0.97241	
0.048	-0.01618	-0.67411	-14.03132	0.00819	0.34113	7.09096	0.00438	0.18251	3.80108	0.00217	0.09038	1.88456	0.00112	0.04659	0.97259	
0.049	-0.01686	-0.68815	-14.02996	0.00853	0.34822	7.08926	0.00456	0.18631	3.80095	0.00226	0.09226	1.88474	0.00116	0.04757	0.97280	
0.050	-0.01756	-0.70217	-14.02850	0.00889	0.35530	7.08745	0.00475	0.19011	3.80081	0.00235	0.09415	1.88494	0.00121	0.04854	0.97301	
0.051	-0.01827	-0.71620	-14.02696	0.00925	0.36239	7.08553	0.00495	0.19391	3.80066	0.00245	0.09603	1.88514	0.00126	0.04951	0.97324	
0.052	-0.01899	-0.73023	-14.02532	0.00961	0.36948	7.08350	0.00514	0.19771	3.80050	0.00255	0.09792	1.88536	0.00131	0.05049	0.97348	
0.053	-0.01973	-0.74425	-14.02359	0.00998	0.37656	7.08134	0.00534	0.20151	3.80033	0.00264	0.09980	1.88560	0.00136	0.05146	0.97373	
0.054	-0.02048	-0.75828	-14.02176	0.01036	0.38364	7.07906	0.00554	0.20532	3.80015	0.00274	0.10169	1.88584	0.00141	0.05243	0.97400	
0.055	-0.02124	-0.77230	-14.01982	0.01075	0.39072	7.07665	0.00575	0.20912	3.79996	0.00285	0.10357	1.88610	0.00147	0.05341	0.97429	
0.056	-0.02202	-0.78632	-14.01777	0.01115	0.39779	7.07410	0.00596	0.21292	3.79977	0.00295	0.10546	1.88638	0.00152	0.05438	0.97459	
0.057	-0.02282	-0.80033	-14.01561	0.01155	0.40486	7.07142	0.00618	0.21671	3.79956	0.00306	0.10735	1.88666	0.00158	0.05536	0.97490	
0.058	-0.02362	-0.81435	-14.01334	0.01196	0.41193	7.06859	0.00640	0.22051	3.79933	0.00317	0.10923	1.88697	0.00163	0.05633	0.97524	
